id,V1,V2,length
1,1,497,682.239
2,1,187,846.4749999999999
3,1,633,371.34999999999997
4,2,39,634.713
5,2,68,168.526
6,2,497,519.483
7,3,29,110.33
8,3,39,693.13
9,3,204,1010.2109999999999
10,4,159,71.266
11,4,112,282.36199999999997
12,4,140,282.278
13,5,182,59.005
14,5,6,842.8679999999999
15,6,55,782.024
16,7,55,251.78
17,7,188,698.472
18,7,501,1237.176
19,8,158,852.08
20,8,54,453.509
21,8,124,304.62199999999996
22,9,165,538.649
23,9,299,878.334
24,9,522,416.863
25,10,166,632.3960000000001
26,10,641,688.4280000000001
27,10,590,143.332
28,11,180,286.40000000000003
29,11,535,400.71799999999996
30,12,164,389.94100000000003
31,12,65,954.937
32,13,189,476.46399999999994
33,13,31,427.644
34,13,626,76.848
35,14,299,722.5600000000001
36,14,189,294.924
37,14,509,363.206
38,15,121,357.231
39,15,107,483.349
40,16,61,218.286
41,16,120,269.25200000000007
42,16,121,69.259
43,17,394,301.61699999999996
44,17,542,55.858
45,18,413,410.293
46,18,410,187.17200000000003
47,18,394,2110.4809999999998
48,19,428,534.24
49,19,398,154.683
50,19,624,554.951
51,20,192,866.505
52,20,59,989.405
53,20,167,331.442
54,21,278,773.408
55,21,376,800.819
56,22,39,569.5290000000001
57,22,688,870.9169999999999
58,22,193,472.899
59,23,337,334.452
60,23,541,41.211
61,24,408,230.20100000000002
62,24,409,409.757
63,24,423,679.4870000000001
64,25,195,605.388
65,25,361,388.282
66,26,281,922.291
67,27,393,487.03600000000006
68,27,267,1233.6359999999997
69,27,660,516.354
70,28,430,288.646
71,28,283,569.3870000000001
72,29,537,1032.2089999999998
73,29,537,1020.755
74,30,311,759.3810000000001
75,30,348,885.231
76,31,680,762.1899999999999
77,31,509,391.735
78,32,206,558.544
79,32,510,444.984
80,32,42,154.958
81,33,351,1400.094
82,33,353,600.036
83,34,608,1895.9470000000003
84,34,458,321.77099999999996
85,35,569,1056.434
86,35,594,1019.8150000000002
87,36,310,549.049
88,36,607,413.88700000000006
89,37,224,557.991
90,37,440,257.679
91,37,514,332.29499999999996
92,38,129,518.301
93,38,130,360.30899999999997
94,38,212,113.44699999999999
95,40,363,437.5170000000001
96,40,595,765.843
97,41,381,608.55
98,41,380,426.646
99,41,584,853.5160000000001
100,42,508,399.83500000000004
101,43,536,603.936
102,43,190,70.544
103,44,45,921.926
104,44,526,563.28
105,45,655,324.893
106,45,529,747.297
107,46,272,1031.1049999999998
108,46,596,348.304
109,46,529,513.824
110,47,290,1267.5420000000001
111,47,289,921.4560000000001
112,47,289,916.9979999999999
113,48,470,566.075
114,48,528,1368.022
115,48,201,868.7189999999999
116,49,443,707.677
117,49,443,703.5600000000001
118,49,218,210.67000000000002
119,50,433,464.144
120,50,51,1003.7430000000002
121,50,52,375.522
122,51,214,1259.785
123,51,431,417.751
124,52,233,330.70900000000006
125,53,161,536.001
126,53,481,311.20599999999996
127,54,124,437.291
