id,x,y
1,-122.059974,37.348484
2,-122.0597495,37.3376866
3,-122.0516164,37.3277785
4,-121.901474,37.3641758
5,-122.068844,37.3878941
6,-122.0686987,37.3954537
7,-122.0699731,37.4046501
8,-122.0148121,37.3962104
9,-122.0565203,37.4055796
10,-122.0681996,37.4081826
11,-122.0675473,37.3780824
12,-121.9924729,37.3902556
13,-122.030742,37.4022489
14,-122.0391316,37.4015381
15,-121.9012245,37.3675689
16,-121.9021323,37.3638395
17,-121.9746537,37.2269204
18,-121.9616232,37.245702
19,-121.9632907,37.2584511
20,-122.0472589,37.3340488
21,-122.0186521,37.3329784
22,-122.0535674,37.3330123
23,-121.9753692,37.2263934
24,-121.962633,37.2578982
25,-122.0699873,37.3342908
26,-122.0730732,37.3334527
27,-121.8472168,37.255331
28,-121.8776515,37.2552963
29,-122.051155,37.3268571
30,-122.01349,37.4060422
31,-122.0352652,37.4008953
32,-122.0665156,37.3852303
33,-121.9402011,37.4202868
34,-121.9195786,37.4363445
35,-121.9790801,37.3181601
36,-121.9180752,37.3720647
37,-121.9239304,37.3445757
38,-121.9010139,37.3675445
39,-122.056255,37.332782
40,-121.9399034,37.3214996
41,-121.9200313,37.316932
42,-122.0649016,37.3857638
43,-122.0652239,37.3854938
44,-121.9544019,37.4192941
45,-121.9439626,37.4193116
46,-121.930169,37.4222086
47,-121.9700546,37.3161752
48,-121.9839711,37.4128828
49,-121.8953303,37.3632639
50,-121.9013793,37.3430441
51,-121.9085956,37.3497381
52,-121.8993448,37.340083
53,-121.9722514,37.3845065
54,-122.0098967,37.3950338
55,-122.0699834,37.402386
56,-122.0597755,37.3484926
57,-122.0620187,37.3554743
58,-122.0594759,37.337371
59,-122.0581486,37.3320995
60,-122.0552518,37.332044
61,-121.9034458,37.3621831
62,-121.9462963,37.276003
63,-121.936893,37.2917195
64,-121.9830968,37.3873946
65,-121.9822898,37.3873767
66,-121.9407953,37.3145466
67,-121.8689611,37.3898938
68,-122.0593995,37.3361993
69,-122.0324198,37.3998896
70,-122.0812431,37.4136198
71,-122.0572206,37.3343345
72,-121.9057571,37.3873418
73,-121.8805787,37.4139397
74,-121.8807234,37.4144252
75,-121.9147717,37.3149845
76,-121.8409407,37.3478583
77,-122.0924404,37.4208225
78,-122.0924106,37.4197598
79,-121.8612976,37.3341084
80,-121.8899699,37.4416702
81,-121.8775067,37.4045797
82,-122.0697144,37.4053977
83,-122.0763321,37.4110226
84,-122.0088377,37.3947024
85,-121.946907,37.2690905
86,-121.9401761,37.2975539
87,-121.938645,37.2946229
88,-121.9176977,37.3161248
89,-121.8460953,37.3673429
90,-121.8466318,37.368001
91,-121.8825914,37.3265933
92,-121.9035701,37.3780073
93,-121.9018806,37.3194191
94,-122.0526781,37.3302794
95,-122.0608409,37.3329108
96,-122.0805501,37.412801
97,-121.9259094,37.3427879
98,-121.8457923,37.333072
99,-121.8450724,37.3327258
100,-121.9362491,37.3346567
101,-121.9345194,37.335947
102,-121.8817158,37.4177033
103,-121.8807216,37.4167543
104,-121.8802076,37.4150459
105,-121.8800198,37.4143109
106,-121.8418984,37.3608343
107,-121.9021212,37.3718519
108,-122.0127086,37.3955416
109,-122.0820916,37.4135101
110,-122.0637075,37.4069608
111,-122.056615,37.4054074
112,-121.9016603,37.3643277
113,-121.8974376,37.3229819
114,-121.9240595,37.3446914
115,-122.0690125,37.3974216
116,-121.8590827,37.2629742
117,-121.8433082,37.3631492
118,-121.8357917,37.3226745
119,-121.8448529,37.3447498
120,-121.9021953,37.3641603
121,-121.9018266,37.3644129
122,-121.9018319,37.3639759
123,-121.9406469,37.3123213
124,-122.0125239,37.3975386
125,-121.8153163,37.3013982
126,-121.9001924,37.3408447
127,-121.9229521,37.3725579
128,-121.8523395,37.3397707
129,-121.9019254,37.372146
130,-121.8998066,37.3682184
131,-122.0671891,37.4077128
132,-121.9563028,37.3165949
133,-121.914574,37.3131913
134,-121.9032258,37.3775897
135,-121.9475805,37.2722034
136,-121.9464807,37.316933
137,-121.8714235,37.2557934
138,-121.9181124,37.430022
139,-121.9997028,37.3922009
140,-121.8983394,37.3637222
141,-121.9265967,37.3701198
142,-121.9372674,37.3338805
143,-122.0166681,37.3964224
144,-121.9479949,37.2708048
145,-121.9407427,37.3227546
146,-121.8856193,37.428883
147,-121.8512365,37.3728675
148,-121.879273,37.4100357
149,-121.8892662,37.3245766
150,-121.943233,37.2529214
151,-121.912026,37.25044
152,-121.9040945,37.2505302
153,-121.8965254,37.3312578
154,-121.9016644,37.343143
155,-121.8598259,37.3475955
156,-121.8568247,37.3443972
157,-122.0891844,37.4184775
158,-122.024114,37.3982379
159,-121.9022293,37.3644003
160,-122.0955568,37.4233694
161,-121.9779571,37.3861443
162,-121.9925739,37.4106548
163,-121.9993375,37.3923041
164,-121.9966041,37.3914898
165,-122.0623994,37.4068667
166,-122.0744411,37.4109305
167,-122.0508047,37.3331061
168,-121.9587666,37.3806511
169,-121.9669163,37.3825768
170,-121.9643248,37.3818604
171,-121.9635444,37.3816228
172,-121.9616278,37.381089
173,-121.9606765,37.3813658
174,-121.9634158,37.3821542
175,-121.9640231,37.382322
