"method","alpha","n_pts","n_loc","t_vertex_ms","t_edges_ms","t_total_ms"
"direct",1,32,16096,8.0000000000009,17116,17124
"kriging",1,32,16096,8.0000000000009,6756,6764
"direct",1,64,32192,8.0000000000009,7140,7148
"kriging",1,64,32192,8.0000000000009,6440,6448
"direct",1,128,64384,8.0000000000009,6474,6482
"kriging",1,128,64384,8.0000000000009,6899,6907
"direct",1,256,128768,8.0000000000009,6228,6236
"kriging",1,256,128768,8.0000000000009,6015,6023
"direct",1,512,257536,8.0000000000009,6685,6693
"kriging",1,512,257536,8.0000000000009,6861.99999999999,6869.99999999999
"direct",1,1024,515072,8.0000000000009,10962,10970
"kriging",1,1024,515072,8.0000000000009,6637,6645
"direct",2,32,16096,14.00000000001,5946.99999999999,5961
"kriging",2,32,16096,14.00000000001,6397.99999999998,6411.99999999999
"direct",2,64,32192,14.00000000001,5993,6007
"kriging",2,64,32192,14.00000000001,6387,6401.00000000001
"direct",2,128,64384,14.00000000001,6715.99999999998,6729.99999999999
"kriging",2,128,64384,14.00000000001,5920.99999999999,5935
"direct",2,256,128768,14.00000000001,6579.99999999998,6594
"kriging",2,256,128768,14.00000000001,6134.99999999999,6149
"direct",2,512,257536,14.00000000001,6977,6991.00000000001
"kriging",2,512,257536,14.00000000001,6184.99999999997,6198.99999999998
"direct",2,1024,515072,14.00000000001,8286.99999999998,8300.99999999999
"kriging",2,1024,515072,14.00000000001,6987.99999999997,7001.99999999998
