"method","alpha","n_pts","n_loc","median_ms","iqr_ms"
"direct",1,8,4024,7.00000000000001,0
"direct",1,16,8048,8.00000000000001,0
"direct",1,32,16096,10.9999999999999,0
"direct",1,64,32192,19.0000000000001,1.00000000000011
"direct",1,128,64384,49.9999999999998,2.99999999999989
"direct",1,256,128768,198,3.00000000000011
"direct",1,512,257536,1232,49
"direct",1,1024,515072,7246,151.999999999997
"kriging",1,8,4024,7.000000000005,0.999999999990564
"kriging",1,16,8048,8.00000000000267,0
"kriging",1,32,16096,9.00000000000034,0
"kriging",1,64,32192,12.0000000000005,0
"kriging",1,128,64384,18.0000000000007,0.999999999997669
"kriging",1,256,128768,30.0000000000011,0.999999999997669
"kriging",1,512,257536,49.9999999999972,7.105427357601e-12
"kriging",1,1024,515072,99.0000000000038,65.0000000000048
"extended",1,8,4024,52.000000000001,0
"extended",1,16,8048,64.6000000000001,0
"extended",1,32,16096,104.799999999999,0
"extended",1,64,32192,183.6,0
"extended",1,128,64384,400.6,0
"extended",1,256,128768,856.6,0
"extended",1,512,257536,1923.2,0
"extended",1,1024,515072,4119.6,0
"spectral",1,8,4024,370.000000000005,16.9999999999959
"spectral",1,16,8048,427.999999999997,4.0000000000191
"spectral",1,32,16096,656.999999999982,10.0000000000193
"spectral",1,64,32192,1095,4.0000000000191
"spectral",1,128,64384,2017,56.9999999999877
"spectral",1,256,128768,3875,51.9999999999923
"spectral",1,512,257536,7877.99999999999,33.9999999999918
"spectral",1,1024,515072,17906,21.0000000000728
"direct",2,8,4024,9.00000000001455,5.6843418860808e-11
"direct",2,16,8048,10.0000000000477,1.0000000000332
"direct",2,32,16096,14.00000000001,5.6843418860808e-11
"direct",2,64,32192,30.0000000000296,5.6843418860808e-11
"direct",2,128,64384,137,1.99999999995271
"direct",2,256,128768,1602.99999999995,4.0000000000191
"direct",2,512,257536,16862,63.0000000000473
"direct",2,1024,515072,134994,350.000000000146
"kriging",2,8,4024,9.9999999999909,0.999999999976353
"kriging",2,16,8048,9.9999999999909,1.99999999995271
"kriging",2,32,16096,11.9999999999436,0.99999999974898
"kriging",2,64,32192,15.0000000001,0.999999999976353
"kriging",2,128,64384,20.9999999999582,0.999999999976353
"kriging",2,256,128768,33.0000000001291,2.27373675443232e-10
"kriging",2,512,257536,60.9999999999218,4.00000000013279
"kriging",2,1024,515072,109.000000000151,1.99999999995271
"extended",2,8,4024,53.4000000000106,0
"extended",2,16,8048,79.3999999999869,0
"extended",2,32,16096,127.600000000029,0
"extended",2,64,32192,242.200000000003,0
"extended",2,128,64384,NA,0
"extended",2,256,128768,NA,NA
"extended",2,512,257536,NA,NA
"extended",2,1024,515072,NA,NA
